operateur,annee,filiere,consor,code_commune,libelle_commune,code_departement,id_filiere,consototale
Enedis,"2016",Electricité,"1180.25","09305",Tabre,"09","100","1360.04"
Enedis,"2016",Electricité,"219.29","09310",Thouars-sur-Arize,"09","100","266.86"
Enedis,"2016",Electricité,"125.8","09311",Tignac,"09","100","125.8"
Enedis,"2016",Electricité,"559.2","09313",Tourtouse,"09","100","559.34"
Enedis,"2016",Electricité,"913.7","09314",Tourtrol,"09","100","1087.01"
Enedis,"2016",Electricité,"367.42","09315",Trémoulet,"09","100","367.42"
Enedis,"2016",Electricité,"362.31","09316",Troye-d'Ariège,"09","100","362.31"
Enedis,"2016",Electricité,"382.67","09323",Vals,"09","100","382.67"
Enedis,"2016",Electricité,"471.89","09338",Villeneuve-du-Latou,"09","100","471.89"
Enedis,"2016",Electricité,"608.25","09340",Vira,"09","100","608.25"
Régie d'électricité de Saint-Quirc,"2016",Electricité,"781.7","09275",Saint-Quirc,"09","100","886.69"
Régie municipale d'électricité de Dalou,"2016",Electricité,"1800.36","09104",Dalou,"09","100","1844.02"
Régie municipale d'électricité de Saverdun,"2016",Electricité,"10772.84","09282",Saverdun,"09","100","28348.530000000002"
Régie municipale d'électricité de Varilhes,"2016",Electricité,"7874.0","09324",Varilhes,"09","100","14083.0"
RTE,"2016",Electricité,"0.0","09032",Ax-les-Thermes,"09","100","1356.03"
GRDF,"2016",Gaz,"349.0","09106",Dreuilhe,"09","200","349.0"
GRDF,"2016",Gaz,"2096.0","09119",Eycheil,"09","200","2096.0"
GRDF,"2016",Gaz,"56864.0","09122",Foix,"09","200","69334.0"
GRDF,"2016",Gaz,"6636.0","09157",Laroque-d'Olmes,"09","200","21405.0"
GRDF,"2016",Gaz,"0.0","09199",Montaut,"09","200","0.0"
GRDF,"2016",Gaz,"1276.0","09206",Montferrier,"09","200","1276.0"
GRDF,"2016",Gaz,"3736.0","09235",Prat-Bonrepaux,"09","200","4209.0"
GRDF,"2016",Gaz,"0.0","09251",Roumengoux,"09","200","3960.0"
GRDF,"2016",Gaz,"11584.0","09265",Saint-Jean-du-Falga,"09","200","12681.0"
GRDF,"2016",Gaz,"5394.0","09272",Saint-Paul-de-Jarrat,"09","200","5394.0"
GRDF,"2016",Gaz,"1031.0","09305",Tabre,"09","200","1031.0"
GRDF,"2016",Gaz,"12414.0","09324",Varilhes,"09","200","12414.0"
GRDF,"2016",Gaz,"2677.0","09329",Vernajoul,"09","200","2677.0"
GRDF,"2016",Gaz,"1997.0","09336",Villeneuve-d'Olmes,"09","200","2355.0"
Régie municipale d'électricité d'Arignac,"2016",Electricité,"1994.0","09015",Arignac,"09","100","2369.0"
RTE,"2016",Electricité,"0.0","09321",Ussat,"09","100","1009.32"
Régie d'électricité de Saint-Quirc,"2016",Electricité,"582.33","09076",Canté,"09","100","655.9200000000001"
GRDF,"2015",Gaz,"214.0","09066",Brassac,"09","200","214.0"
GRDF,"2015",Gaz,"342.0","09106",Dreuilhe,"09","200","342.0"
GRDF,"2015",Gaz,"2547.0","09130",Ganac,"09","200","2547.0"
GRDF,"2015",Gaz,"0.0","09199",Montaut,"09","200","0.0"
GRDF,"2015",Gaz,"1218.0","09206",Montferrier,"09","200","1218.0"
GRDF,"2015",Gaz,"1792.0","09245",Rieux-de-Pelleport,"09","200","1792.0"
GRDF,"2015",Gaz,"870.0","09275",Saint-Quirc,"09","200","870.0"
GRDF,"2015",Gaz,"5401.0","09312",La Tour-du-Crieu,"09","200","5401.0"
GRDF,"2015",Gaz,"11776.0","09324",Varilhes,"09","200","11776.0"
Régie d'électricité de Saint-Quirc,"2015",Electricité,"631.93","09076",Canté,"09","100","693.43"
Régie municipale d'électricité de Mazeres,"2015",Electricité,"12471.0","09185",Mazères,"09","100","23276.0"
Régie municipale d'électricité de Mercus,"2015",Electricité,"2422.0","09188",Mercus-Garrabet,"09","100","3236.0"
Régie municipale d'électricité de Varilhes,"2015",Electricité,"9287.0","09324",Varilhes,"09","100","12654.0"
RTE,"2015",Electricité,"0.0","09032",Ax-les-Thermes,"09","100","1469.23"
RTE,"2015",Electricité,"0.0","09122",Foix,"09","100","2290.97"
RTE,"2015",Electricité,"0.0","09188",Mercus-Garrabet,"09","100","7362.71"
RTE,"2015",Electricité,"0.0","09228",Perles-et-Castelet,"09","100","37471.58"
Enedis,"2015",Electricité,"3836.51","09042",La Bastide-de-Sérou,"09","100","4839.81"
Enedis,"2015",Electricité,"594.54","09045",Bédeilhac-et-Aynat,"09","100","599.04"
Enedis,"2015",Electricité,"174.45","09048",Belloc,"09","100","192.17"
Enedis,"2015",Electricité,"90.57","09053",Bestiac,"09","100","90.57"
Enedis,"2015",Electricité,"911.8","09058",Bompas,"09","100","911.8"
Enedis,"2015",Electricité,"241.37","09064",Bouan,"09","100","241.37"
Enedis,"2015",Electricité,"916.69","09065",Boussenac,"09","100","916.69"
Enedis,"2015",Electricité,"749.16","09071",Cadarcet,"09","100","749.16"
Enedis,"2015",Electricité,"1015.04","09075",Campagne-sur-Arize,"09","100","1087.25"
Enedis,"2015",Electricité,"1764.1","09082",Castelnau-Durban,"09","100","1793.1"
Enedis,"2015",Electricité,"69.25","09083",Castéras,"09","100","69.25"
Enedis,"2015",Electricité,"2313.9","09085",Castillon-en-Couserans,"09","100","2471.54"
Enedis,"2015",Electricité,"926.8","09086",Caumont,"09","100","2490.83"
Enedis,"2015",Electricité,"770.78","09091",Cazavet,"09","100","770.78"
Enedis,"2015",Electricité,"604.84","09108",Durban-sur-Arize,"09","100","604.84"
Enedis,"2015",Electricité,"350.31","09123",Fornex,"09","100","674.19"
Enedis,"2015",Electricité,"501.89","09129",Galey,"09","100","501.89"
Enedis,"2015",Electricité,"656.43","09138",L'Herm,"09","100","946.81"
Enedis,"2015",Electricité,"198.76","09141",Illartein,"09","100","198.76"
Enedis,"2015",Electricité,"177.6","09151",Lanoux,"09","100","177.6"
Enedis,"2015",Electricité,"98.44","09156",Larnat,"09","100","98.44"
Enedis,"2015",Electricité,"1479.26","09164",Lescure,"09","100","1574.19"
Enedis,"2015",Electricité,"500.41","09180",Manses,"09","100","785.0"
Enedis,"2015",Electricité,"298.39","09183",Mauvezin-de-Prat,"09","100","298.39"
Enedis,"2015",Electricité,"280.97","09190",Mérigon,"09","100","280.97"
Enedis,"2015",Electricité,"47.75","09195",Monesple,"09","100","47.75"
Enedis,"2015",Electricité,"81.44","09196",Montagagne,"09","100","81.44"
Enedis,"2015",Electricité,"576.56","09198",Montardit,"09","100","576.56"
Enedis,"2015",Electricité,"652.21","09204",Montesquieu-Avantès,"09","100","652.21"
Enedis,"2015",Electricité,"3228.46","09206",Montferrier,"09","100","3802.89"
Enedis,"2015",Electricité,"1419.69","09210",Montoulieu,"09","100","1468.15"
Enedis,"2015",Electricité,"726.33","09213",Moulin-Neuf,"09","100","746.34"
Enedis,"2015",Electricité,"2707.38","09214",Moulis,"09","100","3316.31"
Enedis,"2015",Electricité,"427.87","09215",Nalzen,"09","100","427.87"
Enedis,"2015",Electricité,"631.84","09219",Orgibet,"09","100","631.84"
Enedis,"2015",Electricité,"1208.54","09220",Orlu,"09","100","1896.6799999999998"
Enedis,"2015",Electricité,"2242.67","09223",Oust,"09","100","2495.7400000000002"
Enedis,"2015",Electricité,"663.17","09227",Péreille,"09","100","663.17"
Enedis,"2015",Electricité,"1229.54","09228",Perles-et-Castelet,"09","100","1979.34"
Enedis,"2015",Electricité,"456.13","09230",Le Pla,"09","100","497.76"
Enedis,"2015",Electricité,"754.86","09231",Le Port,"09","100","754.86"
Enedis,"2015",Electricité,"457.72","09234",Pradières,"09","100","457.72"
Enedis,"2015",Electricité,"1451.46","09236",Prayols,"09","100","1507.64"
Enedis,"2015",Electricité,"1437.25","09241",Rabat-les-Trois-Seigneurs,"09","100","1438.45"
Enedis,"2015",Electricité,"3884.46","09245",Rieux-de-Pelleport,"09","100","3884.46"
Enedis,"2015",Electricité,"759.36","09247",Rivèrenert,"09","100","759.36"
Enedis,"2015",Electricité,"636.53","09249",Roquefixade,"09","100","636.53"
Enedis,"2015",Electricité,"697.11","09251",Roumengoux,"09","100","697.11"
Enedis,"2015",Electricité,"1001.31","09254",Saint-Amadou,"09","100","1046.8999999999999"
Enedis,"2015",Electricité,"163.35","09255",Saint-Amans,"09","100","163.35"
Enedis,"2015",Electricité,"2119.58","09257",Sainte-Croix-Volvestre,"09","100","2637.7"
Enedis,"2015",Electricité,"111.65","09260",Sainte-Foi,"09","100","111.65"
Enedis,"2015",Electricité,"21329.45","09261",Saint-Girons,"09","100","27402.260000000002"
Enedis,"2015",Electricité,"1119.39","09262",Saint-Jean-d'Aigues-Vives,"09","100","1173.5900000000001"
Enedis,"2015",Electricité,"724.4","09270",Saint-Martin-d'Oydes,"09","100","834.96"
Enedis,"2015",Electricité,"886.52","09276",Saint-Victor-Rouzaud,"09","100","955.74"
Enedis,"2015",Electricité,"2660.23","09277",Saint-Ybars,"09","100","2746.82"
Enedis,"2015",Electricité,"544.98","09284",Ségura,"09","100","544.98"
Enedis,"2015",Electricité,"3454.16","09285",Seix,"09","100","4503.78"
Enedis,"2015",Electricité,"81.41","09287",Senconac,"09","100","81.41"
Enedis,"2015",Electricité,"156.59","09292",Sentenac-de-Sérou,"09","100","156.59"
Enedis,"2015",Electricité,"371.7","09294",Sieuras,"09","100","371.7"
Enedis,"2015",Electricité,"686.41","09295",Siguer,"09","100","686.41"
Enedis,"2015",Electricité,"75.78","09297",Sor,"09","100","75.78"
Enedis,"2015",Electricité,"1494.56","09299",Soueix-Rogalle,"09","100","1502.1799999999998"
Enedis,"2015",Electricité,"525.47","09306",Tarascon-sur-Ariège,"09","100","886.79"
Enedis,"2015",Electricité,"9757.69","09312",La Tour-du-Crieu,"09","100","10993.0"
Enedis,"2015",Electricité,"328.27","09315",Trémoulet,"09","100","328.27"
Enedis,"2015",Electricité,"285.07","09319",Unzent,"09","100","298.34999999999997"
Enedis,"2015",Electricité,"366.05","09323",Vals,"09","100","366.05"
Enedis,"2015",Electricité,"215.86","09325",Vaychis,"09","100","215.86"
Enedis,"2015",Electricité,"1176.89","09334",Val-de-Sos,"09","100","1309.14"
Enedis,"2015",Electricité,"812.54","09342",Sainte-Suzanne,"09","100","871.2099999999999"
Enedis,"2015",Electricité,"161.3","09001",Aigues-Juntes,"09","100","161.3"
Enedis,"2015",Electricité,"624.45","09004",Albiès,"09","100","624.45"
Enedis,"2015",Electricité,"636.47","09005",Aleu,"09","100","636.47"
Enedis,"2015",Electricité,"239.28","09006",Alliat,"09","100","549.68"
Enedis,"2015",Electricité,"211.34","09007",Allières,"09","100","211.34"
Enedis,"2015",Electricité,"580.11","09009",Alzen,"09","100","580.11"
Enedis,"2015",Electricité,"645.27","09014",Argein,"09","100","682.16"
Enedis,"2015",Electricité,"296.5","09018",Arrout,"09","100","296.5"
Enedis,"2015",Electricité,"2091.73","09019",Artigat,"09","100","2340.92"
Enedis,"2015",Electricité,"275.95","09020",Artigues,"09","100","336.0"
Enedis,"2015",Electricité,"436.91","09021",Artix,"09","100","446.98"
Enedis,"2015",Electricité,"855.16","09023",Ascou,"09","100","1471.4299999999998"
Enedis,"2015",Electricité,"1467.38","09024",Aston,"09","100","2527.38"
Enedis,"2015",Electricité,"228.05","09025",Aucazein,"09","100","228.05"
Enedis,"2015",Electricité,"325.98","09027",Augirein,"09","100","325.98"
Enedis,"2015",Electricité,"153.0","09033",Bagert,"09","100","153.0"
Enedis,"2015",Electricité,"1176.48","09038",La Bastide-de-Besplas,"09","100","1212.27"
Enedis,"2015",Electricité,"1404.74","09039",La Bastide-de-Bousignac,"09","100","5270.0599999999995"
Enedis,"2015",Electricité,"898.69","09040",La Bastide-de-Lordat,"09","100","2025.92"
Enedis,"2015",Electricité,"608.86","09041",La Bastide-du-Salat,"09","100","609.94"
Enedis,"2015",Electricité,"565.71","09052",Besset,"09","100","614.63"
Enedis,"2015",Electricité,"849.48","09062",Bordes-Uchentein,"09","100","880.98"
Enedis,"2015",Electricité,"101.32","09068",Burret,"09","100","101.32"
Enedis,"2015",Electricité,"940.5","09081",Le Carlaret,"09","100","1154.82"
Enedis,"2015",Electricité,"232.23","09084",Castex,"09","100","232.23"
Enedis,"2015",Electricité,"195.69","09089",Cazals-des-Baylès,"09","100","850.0699999999999"
Enedis,"2015",Electricité,"119.22","09090",Cazaux,"09","100","119.22"
Enedis,"2015",Electricité,"272.72","09092",Cazenave-Serres-et-Allens,"09","100","272.72"
Enedis,"2015",Electricité,"2281.28","09107",Dun,"09","100","2285.23"
Enedis,"2015",Electricité,"321.48","09110",Encourtiech,"09","100","430.63"
Enedis,"2015",Electricité,"1130.54","09120",Fabas,"09","100","1370.87"
Enedis,"2015",Electricité,"1582.22","09125",Fougax-et-Barrineuf,"09","100","1907.3600000000001"
Enedis,"2015",Electricité,"331.17","09127",Gabre,"09","100","331.17"
Enedis,"2015",Electricité,"188.78","09134",Gestiès,"09","100","188.78"
Enedis,"2015",Electricité,"484.89","09136",Gourbit,"09","100","484.89"
Enedis,"2015",Electricité,"652.0","09140",Ignaux,"09","100","769.6800000000001"
Enedis,"2015",Electricité,"388.73","09142",Ilhat,"09","100","388.73"
Enedis,"2015",Electricité,"827.87","09149",Lacourt,"09","100","921.6800000000001"
Enedis,"2015",Electricité,"533.41","09153",Lapenne,"09","100","561.3199999999999"
Enedis,"2015",Electricité,"134.04","09154",Larbont,"09","100","134.04"
Enedis,"2015",Electricité,"8301.43","09157",Laroque-d'Olmes,"09","100","26749.44"
Enedis,"2015",Electricité,"20118.49","09160",Lavelanet,"09","100","29445.81"
Enedis,"2015",Electricité,"390.7","09169",Limbrassac,"09","100","398.75"
Enedis,"2015",Electricité,"251.11","09171",Lordat,"09","100","271.63"
